"","Rank","Study.Results","Gender","Phases","Funded.Bys","Start.Date","Primary.Completion.Date","Completion.Date","Results.First.Posted","DaysInterval","Country","City","Multicentric"
"1",1,"No Results Available","All","Phase 1|Phase 2","Other","June 2012",2015-02-01,2015-04-01,NA,NA," Spain"," Murcia","0"
"2",2,"No Results Available","All","Phase 2","Industry|Other","May 2010",2014-07-01,2014-07-01,NA,NA," Spain"," Madrid","0"
"3",3,"No Results Available","All","Phase 2","NIH|Other","February 2011",2012-06-01,2013-12-01,NA,NA," Spain"," Navarra","0"
"4",4,"No Results Available","All","Phase 2","Other","August 2011",2014-09-01,2014-09-01,NA,NA," Spain"," Barcelona","0"
"5",5,"No Results Available","Female","Phase 2","Other","March 2013",2013-07-01,2013-07-01,NA,NA," Spain"," LÂ´Hospitalet de Llobregat","0"
"6",6,"No Results Available","All","Phase 4","Industry|Other","February 2013",2013-12-01,2014-06-01,NA,NA," Spain"," Madrid","0"
"7",7,"No Results Available","All","Phase 2","Industry|Other","August 2009",2014-07-01,2014-07-01,NA,NA," Spain"," Madrid","0"
"8",8,"No Results Available","All","Phase 2","Industry|Other","December 2009",2013-01-01,2016-08-01,NA,NA," Spain"," Madrid","0"
"9",9,"No Results Available","All","Phase 2","Industry|Other","May 2009",2015-03-01,2015-03-01,NA,NA," Spain"," Madrid","0"
"10",10,"No Results Available","All","Phase 2","Other","August 2010",2015-06-01,2015-06-01,NA,NA," Spain"," Madrid","0"
"11",11,"No Results Available","All","Phase 2","Industry|Other","February 2011",2015-06-01,2015-06-01,NA,NA," Spain"," Madrid","0"
"12",12,"No Results Available","All","Phase 2","Industry|Other","April 2009",2012-05-01,2012-05-01,NA,NA," Spain"," Madrid","0"
"13",13,"No Results Available","All","Phase 2","Industry|Other","February 2010",2013-11-01,2013-11-01,NA,NA," Spain"," Madrid","0"
"14",14,"No Results Available","All","Phase 1","Industry","March 2010",2012-07-01,2012-07-01,NA,NA,"Multicentric","Multicentric","1"
"15",15,"No Results Available","All","Phase 2","Industry|Other","June 2013",2016-04-01,2016-04-01,NA,NA," Spain"," Madrid","0"
"16",16,"No Results Available","All","Phase 1","Industry","September 2013",2015-04-01,2015-04-01,NA,NA," Spain"," Madrid","0"
"17",17,"No Results Available","All","Phase 2","Other","October 2012",2016-07-01,2016-07-01,NA,NA," Spain"," Madrid","0"
"18",18,"No Results Available","All","Phase 1","Industry","August 2009",2011-03-01,2011-03-01,NA,NA," Spain"," Barcelona","0"
"19",19,"No Results Available","All","Phase 1|Phase 2","Other","May 2016",2016-09-01,2017-03-01,NA,NA," Spain"," Malaga","0"
"20",20,"No Results Available","Male","Phase 2","Other","June 2013",2016-09-01,2017-01-01,NA,NA," Spain"," Madrid","0"
"21",21,"No Results Available","All","Phase 4","Other","April 2012",2013-04-01,2013-06-01,NA,NA,"Multicentric","Multicentric","1"
"22",22,"No Results Available","All","Phase 2","Other","June 8, 2011",2014-09-01,2017-06-07,NA,NA," Spain"," Barcelona","0"
"23",23,"No Results Available","Female","Phase 1|Phase 2","Other","October 2011",2013-11-01,2014-04-01,NA,NA,"Multicentric","Multicentric","1"
"24",24,"No Results Available","All","Phase 1","Industry|Other","February 2014",2015-03-01,2015-04-01,NA,NA," Spain"," Barcelona","0"
"25",25,"No Results Available","All","Phase 2","Other","November 2012",2016-12-01,2016-12-01,NA,NA," Spain"," Navarra","0"
"26",26,"No Results Available","All","Phase 3","Other","March 2010",2015-07-01,2015-08-01,NA,NA,"Multicentric","Multicentric","1"
"27",27,"No Results Available","All","Phase 1","Other","June 2011",2012-06-01,2013-01-01,NA,NA," Spain"," Madrid","0"
"28",28,"No Results Available","All","Phase 4","Other","July 2013",2016-09-01,2016-10-01,NA,NA," Spain"," Barcelona","0"
"29",29,"Has Results","All","Phase 1","Industry","August 2008",2009-12-01,2010-08-01,2011-01-05,400,"Multicentric","Multicentric","1"
"30",30,"No Results Available","All","Phase 1","Industry","April 2013",2016-10-01,2016-10-01,NA,NA,"Multicentric","Multicentric","1"
"31",31,"No Results Available","All","Phase 1","Industry","March 2010",2015-02-01,2015-02-01,NA,NA,"Multicentric","Multicentric","1"
"32",32,"Has Results","Female","Phase 1","Industry","March 2011",2013-07-01,2016-04-01,2014-11-20,507,"Multicentric","Multicentric","1"
"33",33,"No Results Available","All","Phase 1|Phase 2","Other","January 2013",2014-12-01,2016-01-01,NA,NA," Spain"," Madrid","0"
"34",34,"No Results Available","All","Phase 1","Industry","January 2009",2011-06-01,2011-06-01,NA,NA,"Multicentric","Multicentric","1"
"35",35,"No Results Available","Male","Phase 2","Other","July 2011",2013-02-01,2013-02-01,NA,NA," Spain"," Madrid","0"
"36",36,"No Results Available","All","Phase 1","Industry","March 2009",2011-06-01,2011-06-01,NA,NA,"Multicentric","Multicentric","1"
"37",37,"Has Results","All","Phase 1","Industry","December 2013",2015-01-01,2016-04-01,2016-02-12,407,"Multicentric","Multicentric","1"
"38",38,"No Results Available","Female","Phase 1|Phase 2","Industry","January 2012",2014-05-01,2014-05-01,NA,NA,"Multicentric","Multicentric","1"
"39",39,"No Results Available","All","Phase 2","Industry|Other","November 2008",2012-05-01,2012-05-01,NA,NA," Spain"," Madrid","0"
"40",40,"No Results Available","Female","Phase 1","Industry","February 2012",2012-06-01,2012-06-01,NA,NA,"Multicentric","Multicentric","1"
"41",41,"No Results Available","All","Phase 1","Industry","May 2011",2013-10-01,2013-10-01,NA,NA,"Multicentric","Multicentric","1"
"42",42,"No Results Available","All","Phase 1","Industry","May 2009",2012-07-01,2012-07-01,NA,NA,"Multicentric","Multicentric","1"
"43",43,"No Results Available","All","Phase 1","Industry","June 2013",2015-04-01,2016-04-01,NA,NA,"Multicentric","Multicentric","1"
"44",44,"No Results Available","All","Phase 1","Industry","May 2010",2010-09-01,2010-09-01,NA,NA,"Multicentric","Multicentric","1"
"45",45,"No Results Available","All","Phase 1","Industry","January 2014",2016-10-01,2018-09-01,NA,NA,"Multicentric","Multicentric","1"
"46",46,"No Results Available","All","Phase 1|Phase 2","Other","October 2009",2010-11-01,2010-11-01,NA,NA," Spain"," Navarra","0"
"47",47,"No Results Available","All","Phase 1","Industry","November 2008",2011-09-01,2011-09-01,NA,NA,"Multicentric","Multicentric","1"
"48",48,"No Results Available","Male","Phase 1","Other","April 2011",2011-07-01,2011-07-01,NA,NA," Spain"," Madrid","0"
"49",49,"No Results Available","All","Phase 1","Industry","September 2013",2016-07-01,2016-07-01,NA,NA,"Multicentric","Multicentric","1"
"50",50,"No Results Available","All","Phase 2","Industry|Other","November 2012",2012-11-01,2014-12-01,NA,NA,"Multicentric","Multicentric","1"
"51",51,"No Results Available","All","Phase 1|Phase 2","Other","August 2011",2016-07-01,2016-07-01,NA,NA,"Multicentric","Multicentric","1"
"52",52,"No Results Available","All","Phase 1|Phase 2","Industry|Other","May 2013",2016-09-01,2016-09-01,NA,NA,"Multicentric","Multicentric","1"
"53",53,"No Results Available","All","Phase 1","Industry|Other","September 2013",2015-12-01,2017-03-01,NA,NA," Spain"," Navarra","0"
"54",54,"No Results Available","All","Phase 1","Industry","November 2015",2017-02-01,2017-02-01,NA,NA,"Multicentric","Multicentric","1"
"55",55,"No Results Available","All","Phase 1","Industry","September 8, 2010",2017-04-07,2017-04-07,NA,NA,"Multicentric","Multicentric","1"
"56",56,"No Results Available","All","Phase 1","Industry","February 19, 2015",2016-07-01,2016-08-01,NA,NA,"Multicentric","Multicentric","1"
"57",57,"No Results Available","All","Phase 1|Phase 2","Industry","July 2010",2016-09-01,2017-05-04,NA,NA,"Multicentric","Multicentric","1"
"58",58,"No Results Available","All","Phase 1","Industry","March 10, 2009",2009-11-24,2009-11-24,NA,NA,"Multicentric","Multicentric","1"
"59",59,"No Results Available","All","Phase 1","Industry","June 2008",2011-06-01,2011-06-01,NA,NA,"Multicentric","Multicentric","1"
"60",60,"No Results Available","All","Phase 1|Phase 2","Other","April 2013",2016-04-01,2016-04-01,NA,NA,"Multicentric","Multicentric","1"
"61",61,"No Results Available","All","Phase 1|Phase 2","Industry","September 20, 2012",2016-04-29,2016-04-29,NA,NA,"Multicentric","Multicentric","1"
"62",62,"No Results Available","All","Phase 1","Industry","July 2011",2015-06-01,2015-06-01,NA,NA,"Multicentric","Multicentric","1"
"63",63,"No Results Available","All","Phase 1|Phase 2","Industry","April 2010",2015-05-09,2016-07-20,NA,NA,"Multicentric","Multicentric","1"
"64",64,"No Results Available","All","Phase 1","Industry","November 9, 2010",2013-12-03,2018-04-23,NA,NA,"Multicentric","Multicentric","1"
"65",65,"No Results Available","Female","Phase 1|Phase 2","Industry","June 2010",2013-04-01,2013-04-01,NA,NA,"Multicentric","Multicentric","1"
"66",66,"No Results Available","All","Phase 2","Industry","March 2014",2016-11-01,2017-10-05,NA,NA,"Multicentric","Multicentric","1"
"67",67,"No Results Available","All","Phase 1","Industry","March 5, 2014",2016-08-19,2016-08-19,NA,NA,"Multicentric","Multicentric","1"
"68",68,"Has Results","Female","Phase 2|Phase 3","Industry","August 2012",2015-06-01,2015-06-01,2017-01-27,606,"Multicentric","Multicentric","1"
"69",69,"Has Results","All","Phase 1|Phase 2","Industry","April 29, 2008",2009-10-01,2018-06-07,2018-05-08,3141,"Multicentric","Multicentric","1"
"70",70,"Has Results","All","Phase 1","Industry","April 2012",2015-01-01,2015-01-01,2016-03-28,452,"Multicentric","Multicentric","1"
"71",71,"Has Results","All","Phase 1|Phase 2","Industry","March 2010",2015-02-01,2015-05-01,2017-07-12,892,"Multicentric","Multicentric","1"
"72",72,"No Results Available","Female","Phase 2","Industry|Other","October 2009",2010-10-01,2011-05-01,NA,NA,"Multicentric","Multicentric","1"
"73",73,"Has Results","All","Phase 1|Phase 2","Industry","June 2011",2015-11-01,2016-12-01,2018-05-16,927,"Multicentric","Multicentric","1"
"74",74,"Has Results","All","Phase 1|Phase 2","Industry","December 9, 2008",2010-11-01,2018-06-01,2017-11-09,2565,"Multicentric","Multicentric","1"
"75",75,"No Results Available","Female","Phase 3","Industry","April 29, 2013",2016-05-05,2017-01-27,NA,NA,"Multicentric","Multicentric","1"
"76",76,"No Results Available","All","Phase 1","Industry","August 2014",2015-11-01,2015-11-01,NA,NA,"Multicentric","Multicentric","1"
"77",77,"Has Results","All","Phase 1|Phase 2","Industry","October 2009",2015-04-01,2015-04-01,2016-03-30,364,"Multicentric","Multicentric","1"
"78",78,"No Results Available","Female","Phase 4","Industry|Other","May 2011",2013-03-01,2014-04-01,NA,NA,"Multicentric","Multicentric","1"
"79",79,"Has Results","Male","Phase 2","Industry","October 2010",2012-09-01,2013-10-01,2018-11-02,2253,"Multicentric","Multicentric","1"
"80",80,"Has Results","All","Phase 3","Industry","February 21, 2011",2014-05-12,2017-10-20,2015-09-03,479,"Multicentric","Multicentric","1"
"81",81,"No Results Available","All","Phase 1|Phase 2","Industry","October 2012",2016-12-01,2017-05-16,NA,NA,"Multicentric","Multicentric","1"
"82",82,"No Results Available","All","Phase 2","Other","August 2011",2013-12-01,2015-05-01,NA,NA,"Multicentric","Multicentric","1"
"83",83,"No Results Available","Female","Phase 2","Other","December 2012",2015-12-01,2015-12-01,NA,NA,"Multicentric","Multicentric","1"
"84",84,"No Results Available","Female","Phase 2","Other","June 2013",2016-01-01,2016-01-01,NA,NA,"Multicentric","Multicentric","1"
"85",85,"Has Results","All","Phase 1|Phase 2","Industry","February 2011",2013-05-01,2014-08-01,2018-05-18,1843,"Multicentric","Multicentric","1"
"86",86,"No Results Available","All","Phase 2","Other","March 2009",2013-01-01,2013-06-01,NA,NA,"Multicentric","Multicentric","1"
"87",87,"Has Results","Female","Phase 2","Industry","September 15, 2008",2013-11-29,2017-12-20,2015-03-19,475,"Multicentric","Multicentric","1"
"88",88,"No Results Available","All","Phase 3","Industry","June 17, 2012",2014-01-24,2016-05-23,NA,NA,"Multicentric","Multicentric","1"
"89",89,"Has Results","Female","Phase 2","Industry","December 2015",2017-10-01,2017-10-01,2018-10-23,387,"Multicentric","Multicentric","1"
"90",90,"Has Results","Male","Phase 3","Industry","November 2009",2011-11-01,2013-06-01,2015-07-15,1352,"Multicentric","Multicentric","1"
"91",91,"Has Results","All","Phase 2","Industry","December 2011",2014-12-01,2014-12-01,2016-06-15,562,"Multicentric","Multicentric","1"
"92",92,"No Results Available","Male","Phase 2","Other","May 2012",2016-06-01,2016-07-01,NA,NA,"Multicentric","Multicentric","1"
"93",93,"No Results Available","Female","Phase 2","Other","April 2014",2016-10-10,2016-10-10,NA,NA,"Multicentric","Multicentric","1"
"94",94,"Has Results","All","Phase 1|Phase 2","Industry","June 2009",2012-04-01,2015-02-01,2014-09-29,911,"Multicentric","Multicentric","1"
"95",95,"Has Results","Female","Phase 2","Industry","April 2008",2009-08-01,2012-01-01,2011-09-20,780,"Multicentric","Multicentric","1"
"96",96,"No Results Available","Male","Phase 2","Industry","March 2008",2011-08-01,2012-04-01,NA,NA,"Multicentric","Multicentric","1"
"97",97,"No Results Available","All","Phase 1","Industry","July 2, 2013",2017-03-24,2018-04-30,NA,NA,"Multicentric","Multicentric","1"
"98",98,"Has Results","Female","Phase 2","Industry","August 2012",2014-09-01,2014-09-01,2016-08-31,730,"Multicentric","Multicentric","1"
"99",99,"Has Results","All","Phase 3","Industry","April 2010",2011-07-01,2014-01-01,2012-11-19,507,"Multicentric","Multicentric","1"
"100",100,"No Results Available","All","Phase 1|Phase 2","Industry","December 2014",2016-05-31,2017-06-23,NA,NA,"Multicentric","Multicentric","1"
"101",101,"No Results Available","Female","Phase 2","Industry|Other","October 2013",2016-06-01,2017-12-01,NA,NA,"Multicentric","Multicentric","1"
"102",102,"Has Results","Female","Phase 2","Industry","August 2009",2012-01-01,2013-07-01,2015-09-30,1368,"Multicentric","Multicentric","1"
"103",103,"Has Results","All","Phase 1|Phase 2","Industry","April 2010",2016-07-01,2016-07-01,2017-11-07,494,"Multicentric","Multicentric","1"
"104",104,"Has Results","Female","Phase 2","Industry","January 2009",2011-12-01,2013-01-01,2014-06-26,938,"Multicentric","Multicentric","1"
"105",105,"No Results Available","All","Phase 2","Other","January 2011",2017-03-15,2017-12-21,NA,NA,"Multicentric","Multicentric","1"
"106",106,"No Results Available","Male","Phase 3","Industry","November 2010",2014-02-01,2014-06-01,NA,NA,"Multicentric","Multicentric","1"
"107",107,"No Results Available","All","Phase 2","Industry","June 2009",2011-10-01,2012-01-01,NA,NA,"Multicentric","Multicentric","1"
"108",108,"No Results Available","All","Phase 2","Industry|Other","June 2012",2015-10-01,2015-10-01,NA,NA,"Multicentric","Multicentric","1"
"109",109,"Has Results","All","Phase 1|Phase 2","Industry","July 2009",2013-10-01,2013-10-01,2017-04-06,1283,"Multicentric","Multicentric","1"
"110",110,"Has Results","All","Phase 2","Industry","February 2009",2011-04-01,2012-01-01,2013-06-25,816,"Multicentric","Multicentric","1"
"111",111,"No Results Available","All","Phase 2","Industry|Other","August 2012",2015-06-01,2015-06-01,NA,NA,"Multicentric","Multicentric","1"
"112",112,"Has Results","Male","Phase 3","Industry","November 11, 2009",2012-01-13,2016-11-28,2013-09-05,601,"Multicentric","Multicentric","1"
"113",113,"Has Results","Female","Phase 2","Industry","September 30, 2013",2015-05-31,2017-11-30,2017-04-07,677,"Multicentric","Multicentric","1"
"114",114,"Has Results","All","Phase 3","Industry","September 2008",2010-08-01,2016-02-01,2012-03-27,604,"Multicentric","Multicentric","1"
"115",115,"Has Results","Male","Phase 3","Industry","September 30, 2009",2011-09-15,2017-11-02,2012-10-30,411,"Multicentric","Multicentric","1"
"116",116,"No Results Available","Female","Phase 2","Other","December 2010",2014-02-01,2015-12-01,NA,NA,"Multicentric","Multicentric","1"
"117",117,"No Results Available","Female","Phase 3","Industry","April 2009",2012-12-01,2013-04-01,NA,NA,"Multicentric","Multicentric","1"
"118",118,"No Results Available","Female","Phase 2","Industry|Other","September 2013",2015-02-01,2015-02-01,NA,NA,"Multicentric","Multicentric","1"
"119",119,"No Results Available","Male","Phase 3","Industry","July 22, 2012",2014-08-13,2016-02-28,NA,NA,"Multicentric","Multicentric","1"
"120",120,"Has Results","Female","Phase 2","Industry","August 21, 2009",2013-08-01,2018-06-28,2017-11-06,1558,"Multicentric","Multicentric","1"
"121",121,"Has Results","Female","Phase 3","Industry","October 2009",2015-06-01,2015-06-01,2017-04-05,674,"Multicentric","Multicentric","1"
"122",122,"Has Results","All","Phase 2","Industry","February 2009",2011-03-01,2012-12-01,2012-06-11,468,"Multicentric","Multicentric","1"
"123",123,"Has Results","Female","Phase 2","Industry|Other","February 17, 2015",2017-08-02,2017-08-02,2018-09-20,414,"Multicentric","Multicentric","1"
"124",124,"Has Results","Female","Phase 2","Industry|Other","November 12, 2014",2017-03-13,2017-03-13,2018-05-21,434,"Multicentric","Multicentric","1"
"125",125,"No Results Available","Female","Phase 2","Industry","August 2009",2013-09-01,2013-09-01,NA,NA,"Multicentric","Multicentric","1"
"126",126,"No Results Available","Male","Phase 3","Other","February 2011",2015-06-01,2015-08-01,NA,NA,"Multicentric","Multicentric","1"
"127",127,"Has Results","Female","Phase 2","Industry","February 4, 2009",2011-03-01,2018-06-03,2017-11-09,2445,"Multicentric","Multicentric","1"
"128",128,"Has Results","Male","Phase 1|Phase 2","Industry","December 22, 2013",2015-06-04,2017-04-12,2016-09-29,483,"Multicentric","Multicentric","1"
"129",129,"No Results Available","All","Phase 3","Industry","February 2008",2011-02-01,2011-02-01,NA,NA,"Multicentric","Multicentric","1"
"130",130,"No Results Available","Female","Phase 2","Industry|Other","October 2010",2015-09-01,2016-11-25,NA,NA,"Multicentric","Multicentric","1"
"131",131,"Has Results","Female","Phase 3","Industry","June 3, 2009",2014-12-04,2014-12-04,2012-08-31,-825,"Multicentric","Multicentric","1"
"132",132,"No Results Available","Female","Phase 3","Industry","December 2011",2016-04-01,2016-06-01,NA,NA,"Multicentric","Multicentric","1"
"133",133,"No Results Available","Female","Phase 3","Industry","October 3, 2012",2016-05-23,2017-09-21,NA,NA,"Multicentric","Multicentric","1"
"134",134,"No Results Available","All","Phase 2","Other","July 2013",2015-12-01,2015-12-01,NA,NA,"Multicentric","Multicentric","1"
"135",135,"Has Results","All","Phase 3","Industry","June 30, 2014",2015-12-31,2018-05-29,2017-06-08,525,"Multicentric","Multicentric","1"
"136",136,"Has Results","Male","Phase 3","Industry","April 28, 2009",2014-03-31,2017-05-25,2015-04-09,374,"Multicentric","Multicentric","1"
"137",137,"No Results Available","All","Phase 3","Industry","March 2010",2013-04-01,2013-04-01,NA,NA,"Multicentric","Multicentric","1"
"138",138,"No Results Available","All","Phase 2","Industry|Other","November 8, 2010",2015-02-13,2015-02-13,NA,NA,"Multicentric","Multicentric","1"
"139",139,"No Results Available","Female","Phase 3","Industry","May 2009",2011-12-01,2015-10-01,NA,NA,"Multicentric","Multicentric","1"
"140",140,"No Results Available","Female","Phase 2","Industry","February 6, 2013",2015-10-20,2015-12-10,NA,NA,"Multicentric","Multicentric","1"
"141",141,"Has Results","All","Phase 2","Industry","April 2012",2015-10-01,2015-10-01,2016-11-22,418,"Multicentric","Multicentric","1"
"142",142,"No Results Available","Female","Phase 2","Industry|Other","December 2013",2017-03-01,2017-04-04,NA,NA,"Multicentric","Multicentric","1"
"143",143,"Has Results","Female","Phase 2","Industry","October 2011",2013-05-01,2015-12-01,2015-06-08,768,"Multicentric","Multicentric","1"
"144",144,"No Results Available","All","Phase 2","Industry","March 12, 2014",2016-10-24,2017-04-26,NA,NA,"Multicentric","Multicentric","1"
"145",145,"Has Results","All","Phase 3","Industry","September 2011",2013-02-01,2015-08-01,2014-05-05,458,"Multicentric","Multicentric","1"
"146",146,"Has Results","Female","Phase 3","Industry","May 26, 2009",2012-07-08,2017-08-24,2013-12-19,529,"Multicentric","Multicentric","1"
"147",147,"Has Results","Female","Phase 3","Industry","February 2011",2013-12-01,2015-03-01,2015-06-30,576,"Multicentric","Multicentric","1"
"148",148,"Has Results","Female","Phase 3","Industry","June 22, 2010",2013-06-08,2018-06-07,2014-08-21,439,"Multicentric","Multicentric","1"
"149",149,"No Results Available","Female","Phase 2","Industry","March 2011",2016-03-01,2016-03-01,NA,NA,"Multicentric","Multicentric","1"
"150",150,"Has Results","Female","Phase 3","Industry","January 26, 2010",2015-05-29,2017-08-07,2016-10-13,503,"Multicentric","Multicentric","1"
"151",151,"No Results Available","Female","Phase 2","Industry|Other","September 2010",2012-10-01,2017-02-01,NA,NA,"Multicentric","Multicentric","1"
"152",152,"No Results Available","All","Phase 1","Industry","August 6, 2013",2016-10-07,2016-10-07,NA,NA,"Multicentric","Multicentric","1"
"153",153,"Has Results","All","Phase 2","Industry","December 2008",2015-12-01,2015-12-01,2015-12-08,7,"Multicentric","Multicentric","1"
"154",154,"Has Results","Female","Phase 3","Industry","July 2009",2014-06-01,2014-06-01,2015-03-03,275,"Multicentric","Multicentric","1"
"155",155,"Has Results","All","Phase 3","Industry","July 31, 2010",2014-09-30,2016-09-16,2017-02-23,877,"Multicentric","Multicentric","1"
"156",156,"Has Results","All","Phase 3","Industry","February 2009",2012-07-01,2015-09-01,2013-04-23,296,"Multicentric","Multicentric","1"
"157",157,"Has Results","All","Phase 2","Industry","December 2011",2013-09-01,2015-01-01,2015-04-03,579,"Multicentric","Multicentric","1"
"158",158,"Has Results","All","Phase 2","Industry","October 2010",2013-06-01,2013-06-01,2014-06-26,390,"Multicentric","Multicentric","1"
"159",159,"No Results Available","Female","Phase 2","Industry","July 2009",2011-03-01,2011-03-01,NA,NA,"Multicentric","Multicentric","1"
"160",160,"No Results Available","Male","Phase 3","Industry","November 28, 2011",2017-09-25,2017-12-15,NA,NA,"Multicentric","Multicentric","1"
"161",161,"No Results Available","All","Phase 2","Other","October 2009",2011-10-01,2011-10-01,NA,NA," Spain"," Madrid","0"
"162",162,"Has Results","Female","Phase 3","Industry","October 16, 2009",2011-07-12,2017-01-24,2017-01-23,2022,"Multicentric","Multicentric","1"
"163",163,"Has Results","Male","Phase 4","Industry","May 23, 2014",2016-05-08,2017-09-29,2017-06-08,396,"Multicentric","Multicentric","1"
"164",164,"Has Results","Male","Phase 2","Industry","April 2011",2013-04-01,2014-07-01,2015-12-14,987,"Multicentric","Multicentric","1"
"165",165,"No Results Available","Male","Phase 3","Industry","March 2011",2015-02-01,2015-08-01,NA,NA,"Multicentric","Multicentric","1"
"166",166,"Has Results","All","Phase 3","Industry","November 2011",2014-02-01,2015-10-01,2016-02-12,741,"Multicentric","Multicentric","1"
"167",167,"Has Results","Female","Phase 3","Industry","December 2010",2015-03-01,2015-03-01,2016-06-10,467,"Multicentric","Multicentric","1"
"168",168,"Has Results","All","Phase 3","Industry","September 25, 2014",2016-05-13,2016-08-25,2017-07-21,434,"Multicentric","Multicentric","1"
"169",169,"Has Results","Male","Phase 3","Industry","August 2009",2011-11-01,2011-12-01,2012-12-24,419,"Multicentric","Multicentric","1"
"170",170,"No Results Available","Female","Phase 2","Industry","October 2011",2016-04-01,2016-04-01,NA,NA,"Multicentric","Multicentric","1"
"171",171,"No Results Available","All","Phase 2","Industry","June 30, 2014",2016-07-29,2017-02-01,NA,NA,"Multicentric","Multicentric","1"
"172",172,"Has Results","Female","Phase 3","Industry","April 2013",2017-01-30,2017-01-30,2018-07-31,547,"Multicentric","Multicentric","1"
"173",173,"Has Results","Female","Phase 2","Industry","June 25, 2009",2012-07-31,2013-07-01,2015-02-24,938,"Multicentric","Multicentric","1"
"174",174,"Has Results","Male","Phase 3","Industry","April 2011",2015-08-01,2015-08-01,2016-10-11,437,"Multicentric","Multicentric","1"
